dataset,budget_ratio,selector_ref,n,old_mean_pct,old_sd_pct,new_mean_pct,new_sd_pct,delta_mean_pp,delta_sd_pp,selection_ids_same,output_recipes_same
CiteSeer,0.01,degree.yaml,3,76.07607607607608,0.3778695913548937,74.87487487487488,0.7557391827097807,-1.2012012012012,1.1336087740646765,3,0
CiteSeer,0.01,gt_full.yaml,3,76.77677677677679,0.4587162857813683,75.52552552552552,0.7945199132326148,-1.2512512512512508,1.2136492145127282,0,0
CiteSeer,0.01,gt_full_all_trainable.yaml,3,76.57657657657657,0.5413740653849881,75.62562562562563,0.5273099976402753,-0.9509509509509498,0.9653304065058026,0,0
CiteSeer,0.01,gt_full_all_trainable_hops3.yaml,3,76.52652652652652,0.625124924764611,75.62562562562563,0.5273099976402753,-0.9009009009008991,1.0510510510510536,0,0
CiteSeer,0.01,gt_full_sgc_all_trainable_hops3.yaml,3,76.52652652652652,0.17337845921609968,75.07507507507508,0.9009009009008935,-1.4514514514514538,0.9174325715627271,0,0
CiteSeer,0.01,gt_simple.yaml,3,76.57657657657657,0.45045045045045384,75.07507507507508,0.5413740653849822,-1.5015015015014972,0.3972599566163043,0,0
CiteSeer,0.01,p_graph.yaml,3,76.72672672672672,0.5413740653849881,75.47547547547548,0.7557391827097817,-1.2512512512512508,1.222902074361424,0,0
CiteSeer,0.01,p_point.yaml,3,76.77677677677677,0.22935814289068804,75.62562562562563,0.6068246072563634,-1.1511511511511492,0.7557391827097906,0,0
CiteSeer,0.01,r_point.yaml,3,76.82682682682683,0.22935814289068804,75.47547547547548,0.08668922960805393,-1.3513513513513487,0.30030030030030463,0,0
CiteSeer,0.01,random.yaml,3,76.87687687687688,0.15015015015015365,75.07507507507508,0.836000655079573,-1.8018018018018018,0.9009009009008973,3,0
CiteSeer,0.05,degree.yaml,3,76.27627627627628,0.5413740653849822,75.17517517517517,0.6068246072563559,-1.1011011011011058,0.8668922960805124,3,0
CiteSeer,0.05,gt_full.yaml,3,76.32632632632632,0.45871628578136986,75.97597597597597,0.3972599566163088,-0.350350350350348,0.8537898953569593,0,0
CiteSeer,0.05,gt_full_all_trainable.yaml,3,76.47647647647648,0.4826652032529038,75.47547547547548,0.5684592938739014,-1.0010010010010044,0.8269625446375537,0,0
CiteSeer,0.05,gt_full_all_trainable_hops3.yaml,3,76.37637637637637,0.4334461480402615,75.57557557557557,0.22935814289068027,-0.8008008008008013,0.6251249247646028,0,0
CiteSeer,0.05,gt_full_sgc_all_trainable_hops3.yaml,3,76.32632632632632,0.22935814289068027,74.22422422422422,0.8668922960805148,-2.1021021021021027,1.0510510510510496,0,0
CiteSeer,0.05,gt_simple.yaml,3,76.27627627627628,0.3003003003003002,75.92592592592592,0.3778695913548937,-0.350350350350348,0.3125624623823005,0,0
CiteSeer,0.05,p_graph.yaml,3,76.32632632632632,0.45871628578136986,75.72572572572572,0.7095819258637556,-0.6006006006005982,1.0510510510510471,0,0
CiteSeer,0.05,p_point.yaml,3,76.57657657657658,0.3972599566163061,75.42542542542543,0.7557391827097807,-1.151151151151153,1.1067739933681664,0,0
CiteSeer,0.05,r_point.yaml,3,76.37637637637637,0.4587162857813683,75.27527527527528,0.9997489667386413,-1.1011011011010985,1.395131117594227,0,0
CiteSeer,0.05,random.yaml,3,76.77677677677677,0.17337845921610787,74.77477477477478,0.15015015015014654,-2.0020020020019977,0.3125624623823067,3,0
CiteSeer,0.1,degree.yaml,3,75.77577577577577,0.22935814289068027,75.02502502502503,0.5684592938738983,-0.7507507507507468,0.3972599566163064,3,0
CiteSeer,0.1,gt_full.yaml,3,76.22622622622623,0.17337845921610787,74.82482482482483,1.504001922053725,-1.4014014014013993,1.6607267290327405,0,0
CiteSeer,0.1,gt_full_all_trainable.yaml,3,76.32632632632632,0.3125624623823038,75.37537537537537,0.6006006006005933,-0.9509509509509498,0.7406731024498812,0,0
CiteSeer,0.1,gt_full_all_trainable_hops3.yaml,3,76.27627627627628,0.3003003003003002,75.47547547547548,0.5684592938739014,-0.8008008008008013,0.6068246072563612,0,0
CiteSeer,0.1,gt_full_sgc_all_trainable_hops3.yaml,3,76.12612612612612,0.3003003003003073,74.02402402402403,0.7945199132326068,-2.102102102102099,0.9009009009009028,0,0
CiteSeer,0.1,gt_simple.yaml,3,76.57657657657657,0.3003003003003002,75.22522522522522,0.6006006006005933,-1.3513513513513524,0.7945199132326045,0,0
CiteSeer,0.1,p_graph.yaml,3,76.27627627627628,0.15015015015015365,74.72472472472472,1.1269599849046732,-1.5515515515515554,1.2136492145127282,0,0
CiteSeer,0.1,p_point.yaml,3,76.02602602602602,0.22935814289068804,75.02502502502503,0.9535815256885687,-1.0010010010010006,1.0220509437768859,0,0
CiteSeer,0.1,r_point.yaml,3,76.02602602602602,0.22935814289068804,74.92492492492492,0.9376873871468989,-1.1011011011010985,0.9535815256885688,0,0
CiteSeer,0.1,random.yaml,3,76.57657657657657,0.15015015015014654,74.77477477477478,0.6880744286720424,-1.8018018018017983,0.836000655079578,3,0
CiteSeer,0.15,degree.yaml,3,75.92592592592592,0.22935814289068027,75.42542542542542,0.08668922960805393,-0.5005005005005003,0.17337845921609993,3,0
CiteSeer,0.15,gt_full.yaml,3,75.77577577577577,0.3125624623823015,73.97397397397398,0.08668922960805393,-1.8018018018018018,0.3003003003002991,0,0
CiteSeer,0.15,gt_full_all_trainable.yaml,3,75.67567567567566,0.2600676888241536,75.02502502502503,0.22935814289067408,-0.650650650650649,0.08668922960805317,0,0
CiteSeer,0.15,gt_full_all_trainable_hops3.yaml,3,75.82582582582582,0.3003003003003002,75.27527527527528,0.22935814289068182,-0.5505505505505511,0.4826652032529013,0,0
CiteSeer,0.15,gt_full_sgc_all_trainable_hops3.yaml,3,76.42642642642643,0.6544893308619701,74.17417417417417,0.5413740653849881,-2.252252252252255,1.17271016154755,0,0
CiteSeer,0.15,gt_simple.yaml,3,75.77577577577577,0.22935814289068027,75.02502502502503,0.31256246238229585,-0.7507507507507468,0.15015015015014677,0,0
CiteSeer,0.15,p_graph.yaml,3,75.82582582582582,0.3003003003003002,73.82382382382383,0.22935814289068804,-2.0020020020020013,0.3125624623823005,0,0
CiteSeer,0.15,p_point.yaml,3,75.97597597597597,0.15015015015015365,73.92392392392392,0.17337845921610787,-2.052052052052048,0.3125624623823067,0,0
CiteSeer,0.15,r_point.yaml,3,75.97597597597597,0.15015015015015365,73.92392392392392,0.6770645274508866,-2.052052052052048,0.8269625446375537,0,0
CiteSeer,0.15,random.yaml,3,76.07607607607608,0.22935814289068804,74.52452452452454,0.4334461480402615,-1.5515515515515481,0.6251249247646072,3,0
Cora,0.01,degree.yaml,3,88.74538745387454,0.18450184501845257,90.09840098400984,0.464319460963763,1.3530135301353052,0.4260887595495432,3,0
Cora,0.01,gt_full.yaml,3,88.56088560885608,0.36900369003689804,90.15990159901598,0.2130443797747642,1.5990159901599021,0.21304437977476676,0,0
