dataset,n_selection_requests_equal_weight,P0_test_accuracy_percent_mean,GNNDelete_test_accuracy_percent_mean,Retrain_test_accuracy_percent_mean,P0_minus_GU_pp_mean,P0_minus_Retrain_pp_mean,Retrain_minus_GU_pp_mean,update_detection_auc_mean,update_detection_auc_n
Cora,16,90.22140221402213,70.64114391143912,89.66789667896678,19.580258302583026,0.5535055350553499,19.026752767527675,0.5867276951933037,16
CiteSeer,16,74.47447447447448,74.6433933933934,74.81231231231232,-0.16891891891892136,-0.3378378378378406,0.16891891891891928,0.7305749990710464,16
PubMed,16,88.56490872210954,85.80121703853955,88.47775101419879,2.7636916835699847,0.08715770791075245,2.676533975659232,0.5091069037492123,16
