dataset,budget_ratio,selector,reference,n_paired_training_seeds,test_accuracy_difference_pp,paired_sample_sd_pp,lower/equal/higher
Cora,0.15,gt_full_sgc_all_trainable_hops3,degree,3,-1.3530135301353015,0.21304437977476356,lower
Cora,0.15,gt_full_sgc_all_trainable_hops3,random,3,-0.8610086100861003,0.7456553292116933,lower
Cora,0.15,gt_simple,degree,3,-0.18450184501844769,0.9586997089864697,lower
Cora,0.15,gt_simple,random,3,0.3075030750307535,0.83196489904482,higher
Cora,0.15,p_graph,degree,3,-1.0455104551045518,1.0161569275435538,lower
Cora,0.15,p_graph,random,3,-0.5535055350553505,1.3929583828912795,lower
Cora,0.15,p_point,degree,3,-2.460024600245999,0.2818312235520207,lower
Cora,0.15,p_point,random,3,-1.9680196801967975,0.6479491852922986,lower
Cora,0.15,r_point,degree,3,-2.0910209102091035,0.4643194609637596,lower
Cora,0.15,r_point,random,3,-1.5990159901599021,0.7456553292116946,lower
Cora,0.15,random,degree,3,-0.4920049200492012,0.5326109494369298,lower
Cora,0.15,random,random,3,0.0,0.0,equal
CiteSeer,0.01,degree,degree,3,0.0,0.0,equal
CiteSeer,0.01,degree,random,3,-0.2002002002001957,0.8269625446375484,lower
CiteSeer,0.01,gt_full,degree,3,0.650650650650649,0.4587162857813611,higher
CiteSeer,0.01,gt_full,random,3,0.45045045045045323,0.3972599566163064,higher
CiteSeer,0.01,gt_full_all_trainable,degree,3,0.7507507507507468,0.654489330861966,higher
CiteSeer,0.01,gt_full_all_trainable,random,3,0.5505505505505511,0.3125624623822943,higher
CiteSeer,0.01,gt_full_all_trainable_hops3,degree,3,0.7507507507507468,0.654489330861966,higher
CiteSeer,0.01,gt_full_all_trainable_hops3,random,3,0.5505505505505511,0.3125624623822943,higher
CiteSeer,0.01,gt_full_sgc_all_trainable_hops3,degree,3,0.2002002002001957,0.7557391827097788,higher
CiteSeer,0.01,gt_full_sgc_all_trainable_hops3,random,3,0.0,0.15015015015015232,equal
CiteSeer,0.01,gt_simple,degree,3,0.20020020020019938,1.1662843040771815,higher
CiteSeer,0.01,gt_simple,random,3,3.700743415417189e-15,0.7802030664724625,equal
CiteSeer,0.01,p_graph,degree,3,0.6006006006005982,0.6006006006005982,higher
CiteSeer,0.01,p_graph,random,3,0.4004004004004025,0.22935814289068115,higher
CiteSeer,0.01,p_point,degree,3,0.7507507507507468,0.836000655079583,higher
CiteSeer,0.01,p_point,random,3,0.5505505505505511,1.3457787447195915,higher
