dataset,training_seed,budget_ratio,selector_ref,cell_id,selection_id_old,selection_id_new,selection_id_same,output_recipe_hash_old,output_recipe_hash_new,old_f1_after_pct,new_f1_after_pct,delta_new_minus_old_pp
CiteSeer,2024,0.01,p_point.yaml,0a5579d84a7eb79c02db,sel_0c5b5202_162ff246,sel_c0de84be_69753919,False,9b58621acf87347527162f8a2517baafc9b93e6f4d871b591ba59e03388e468c,7dac2c1033acd46e911e2d3f7e8f39dcae60991cf3ced9183f688c944dee929f,76.72672672672672,76.27627627627628,-0.45045045045044585
CiteSeer,2024,0.01,gt_full_all_trainable_hops3.yaml,f7530926a79f33f3fa4e,sel_28ea7dfc_37aa6929,sel_ce41c2dd_bd3c300d,False,1da931fd05f690ecf7458cca3a064b0e43f641c422c7f284652d4453c2bf946d,43ddcb3dacf737cc822dbd095996b0b5f54d771177550938af9009503dfb556c,76.72672672672672,75.07507507507508,-1.6516516516516533
CiteSeer,2024,0.01,gt_full_sgc_all_trainable_hops3.yaml,f6347a192bf99dd7bf60,sel_5c8ba4ea_ce3ab60d,sel_48fa8caf_c0d54936,False,a5de12babb3f88fa92e6f656bdf76dca0b2109133e2f89c42659db80d1d2b2f5,6af2fc4e709b7a7e39e97ea850205a84b454a9a7470719dd60e1582e03c7de2d,76.42642642642643,74.17417417417418,-2.2522522522522515
CiteSeer,2024,0.05,gt_full.yaml,92894dcc034691f29029,sel_3eeb4d81_e7bee0c3,sel_bdc7ddb1_bd4416b3,False,91703cd75e89dbfa08e25870b4e3289340d6b0c5ee64a8acf7a5e16c8664d90f,e6a2f2a8c31c836a42f5621c32f628282ce22dd1673fe33fb0fd020a5d91c0a7,76.42642642642643,75.82582582582582,-0.6006006006006093
CiteSeer,2024,0.05,gt_full_all_trainable.yaml,7e922c67ebe421a0d42f,sel_76b92d55_2362ae85,sel_876015e5_fe4c78f6,False,a7a6d5c1d3f2a73022387dde6e0915b53cafc7b15c26c525982ba03c815a3520,c8d2737157ca90292d07554080a0f221c9d4d113fefb9083e9ae67b9712d52e9,76.27627627627628,76.12612612612612,-0.15015015015015232
CiteSeer,2024,0.05,degree.yaml,ac7a72e0aa31078d78a1,sel_abe5882c_46b01259,sel_abe5882c_46b01259,True,0fd86c8cdce5cf99c033e3e571cee8b31c60bcb091fdc5a4e17ef5063e2d3a7d,1a17bfadfd09bce0c7acd0fa90be920d8f39a9169e734232be7e9b03dfad8f9f,76.42642642642643,75.82582582582582,-0.6006006006006093
CiteSeer,2024,0.05,random.yaml,7bf980727ab1d4044e5c,sel_827351f2_3fe2becf,sel_827351f2_3fe2becf,True,8129ac2fb1b7564b65e3c050be8359f587ba3bcf55a4cfc02cdff9fc8cad7c17,77a337521c9e65b03c5df572e9907b53092be7f78796f47b889346598027f1eb,76.87687687687688,74.62462462462463,-2.2522522522522515
CiteSeer,2024,0.05,gt_simple.yaml,5ed874134b1d49b9a27f,sel_30c31d75_c9a03eb6,sel_586c19de_c339e0bb,False,5c573673b05d6db5876d44012a7321972e9583312e5c6d37b18b852ee978d029,1e3a8f29814cd4f2042688beeb6182c4e977987c69bf6dbb73ab65027172f9be,75.97597597597597,75.52552552552552,-0.45045045045044585
CiteSeer,2024,0.05,r_point.yaml,55c2b1f562c00ea3c04e,sel_c9ab9283_1b45818d,sel_be1753da_fff45c4d,False,e5e1fed7c32849567627fcc4b449c73fff176a4af71984a459da90583f187489,944c299402287efb2786ee3221ef2cbfad8db84b513478973d094eab80116803,76.27627627627628,76.12612612612612,-0.15015015015015232
CiteSeer,2024,0.05,p_graph.yaml,089c3f082289e983f4e0,sel_0a03bc2d_4b605e1f,sel_40e8c57c_8f6450d9,False,805466f1904fce0a49249c7216701819b2ad1bbdc60e5efde1cead8334bef1da,1fc1dc5f541bcee0abf929f12ab2cc0ea15bf2f33dc3d6007bf17ed846dda8c9,76.42642642642643,76.27627627627628,-0.15015015015015232
