dataset,selector,selector_ref,budget_ratio,n_training_seeds,training_seeds,test_accuracy_after_mean_percent,test_accuracy_after_sample_sd_pp
Cora,gt_full_all_trainable,gt_full_all_trainable.yaml,0.1,3,42;212;2024,89.79089790897909,0.2818312235520219
Cora,gt_full_all_trainable,gt_full_all_trainable.yaml,0.15,3,42;212;2024,89.0528905289053,0.946789933477289
Cora,gt_full_all_trainable_hops3,gt_full_all_trainable_hops3.yaml,0.01,3,42;212;2024,90.09840098400984,0.2818312235520159
Cora,gt_full_all_trainable_hops3,gt_full_all_trainable_hops3.yaml,0.05,3,42;212;2024,89.85239852398524,0.18450184501845324
Cora,gt_full_all_trainable_hops3,gt_full_all_trainable_hops3.yaml,0.1,3,42;212;2024,89.72939729397295,0.21304437977477317
Cora,gt_full_all_trainable_hops3,gt_full_all_trainable_hops3.yaml,0.15,3,42;212;2024,89.23739237392374,0.92863892192752
Cora,gt_full_sgc_all_trainable_hops3,gt_full_sgc_all_trainable_hops3.yaml,0.01,3,42;212;2024,90.09840098400984,0.10652218988738338
Cora,gt_full_sgc_all_trainable_hops3,gt_full_sgc_all_trainable_hops3.yaml,0.05,3,42;212;2024,89.85239852398523,0.48814599835140016
Cora,gt_full_sgc_all_trainable_hops3,gt_full_sgc_all_trainable_hops3.yaml,0.1,3,42;212;2024,89.23739237392374,0.4643194609637603
Cora,gt_full_sgc_all_trainable_hops3,gt_full_sgc_all_trainable_hops3.yaml,0.15,3,42;212;2024,88.37638376383764,0.48814599835139805
Cora,gt_simple,gt_simple.yaml,0.01,3,42;212;2024,89.9138991389914,0.10652218988738338
Cora,gt_simple,gt_simple.yaml,0.05,3,42;212;2024,89.72939729397295,0.3840712176136787
Cora,gt_simple,gt_simple.yaml,0.1,3,42;212;2024,89.79089790897909,0.4643194609637603
Cora,gt_simple,gt_simple.yaml,0.15,3,42;212;2024,89.54489544895449,0.946789933477289
Cora,p_graph,p_graph.yaml,0.01,3,42;212;2024,90.03690036900369,0.0
Cora,p_graph,p_graph.yaml,0.05,3,42;212;2024,89.36039360393605,0.3840712176136787
Cora,p_graph,p_graph.yaml,0.1,3,42;212;2024,89.48339483394834,0.3690036900369009
Cora,p_graph,p_graph.yaml,0.15,3,42;212;2024,88.68388683886839,1.1273248942080742
Cora,p_point,p_point.yaml,0.01,3,42;212;2024,89.72939729397294,0.10652218988738979
Cora,p_point,p_point.yaml,0.05,3,42;212;2024,89.60639606396063,0.28183122355202067
Cora,p_point,p_point.yaml,0.1,3,42;212;2024,88.86838868388683,0.46431946096375964
Cora,p_point,p_point.yaml,0.15,3,42;212;2024,87.26937269372695,0.48814599835140016
Cora,r_point,r_point.yaml,0.01,3,42;212;2024,89.66789667896678,0.18450184501845324
Cora,r_point,r_point.yaml,0.05,3,42;212;2024,89.54489544895449,0.21304437977476676
Cora,r_point,r_point.yaml,0.1,3,42;212;2024,88.74538745387454,0.3195665696621502
Cora,r_point,r_point.yaml,0.15,3,42;212;2024,87.63837638376384,0.6391331393243067
Cora,random,random.yaml,0.01,3,42;212;2024,90.09840098400984,0.21304437977476676
Cora,random,random.yaml,0.05,3,42;212;2024,89.60639606396064,0.4260887595495399
Cora,random,random.yaml,0.1,3,42;212;2024,89.85239852398523,0.3195665696621565
Cora,random,random.yaml,0.15,3,42;212;2024,89.23739237392374,0.2818312235520219
PubMed,degree,degree.yaml,0.01,3,42;212;2024,88.38742393509128,0.25732483684311236
PubMed,degree,degree.yaml,0.05,3,42;212;2024,88.51419878296146,0.21958047763296915
PubMed,degree,degree.yaml,0.1,3,42;212;2024,88.75084516565246,0.038730355772111924
PubMed,degree,degree.yaml,0.15,3,42;212;2024,88.44658553076403,0.15283249932407952
PubMed,gt_full,gt_full.yaml,0.01,3,42;212;2024,88.31135902636917,0.10141987829614396
PubMed,gt_full,gt_full.yaml,0.05,3,42;212;2024,87.76200135226505,0.3451754201599408
PubMed,gt_full,gt_full.yaml,0.1,3,42;212;2024,86.48580121703854,0.7099391480730212
PubMed,gt_full,gt_full.yaml,0.15,3,42;212;2024,85.82657200811359,0.4265366085512321
PubMed,gt_full_all_trainable,gt_full_all_trainable.yaml,0.01,3,42;212;2024,88.48884381338743,0.04391609552659255
PubMed,gt_full_all_trainable,gt_full_all_trainable.yaml,0.05,3,42;212;2024,88.1423258958756,0.3848056943148111
PubMed,gt_full_all_trainable,gt_full_all_trainable.yaml,0.1,3,42;212;2024,87.4239350912779,0.22103950017954851
PubMed,gt_full_all_trainable,gt_full_all_trainable.yaml,0.15,3,42;212;2024,87.20419202163625,0.9440541953114114
PubMed,gt_full_all_trainable_hops3,gt_full_all_trainable_hops3.yaml,0.01,3,42;212;2024,88.60716700473293,0.014638698508868456
PubMed,gt_full_all_trainable_hops3,gt_full_all_trainable_hops3.yaml,0.05,3,42;212;2024,88.24374577417173,0.1649697540225053
PubMed,gt_full_all_trainable_hops3,gt_full_all_trainable_hops3.yaml,0.1,3,42;212;2024,87.67748478701826,0.6037464959325888
PubMed,gt_full_all_trainable_hops3,gt_full_all_trainable_hops3.yaml,0.15,3,42;212;2024,87.0605138607167,0.7445616798254586
PubMed,gt_full_sgc_all_trainable_hops3,gt_full_sgc_all_trainable_hops3.yaml,0.01,3,42;212;2024,88.67478025693035,0.03873035577210709
PubMed,gt_full_sgc_all_trainable_hops3,gt_full_sgc_all_trainable_hops3.yaml,0.05,3,42;212;2024,88.80155510480053,0.11982291141614215
PubMed,gt_full_sgc_all_trainable_hops3,gt_full_sgc_all_trainable_hops3.yaml,0.1,3,42;212;2024,88.45503718728871,0.42148267883001034
PubMed,gt_full_sgc_all_trainable_hops3,gt_full_sgc_all_trainable_hops3.yaml,0.15,3,42;212;2024,88.70858688302907,0.06380860746510024
PubMed,gt_simple,gt_simple.yaml,0.01,3,42;212;2024,88.38742393509128,0.11619106731632005
PubMed,gt_simple,gt_simple.yaml,0.05,3,42;212;2024,88.31135902636917,0.24187099427407355
PubMed,gt_simple,gt_simple.yaml,0.1,3,42;212;2024,88.00709939148072,0.2924077736985514
PubMed,gt_simple,gt_simple.yaml,0.15,3,42;212;2024,87.94793779580797,0.3210517226711108
PubMed,p_graph,p_graph.yaml,0.01,3,42;212;2024,88.27755240027045,0.3220513671950227
PubMed,p_graph,p_graph.yaml,0.05,3,42;212;2024,87.93948613928329,0.06380860746510024
PubMed,p_graph,p_graph.yaml,0.1,3,42;212;2024,86.71399594320486,0.5051941897862927
PubMed,p_graph,p_graph.yaml,0.15,3,42;212;2024,85.92799188640974,0.7313491430961457
PubMed,p_point,p_point.yaml,0.01,3,42;212;2024,88.48884381338742,0.14117049601496182
