dataset,selector,selector_seed,cell_id,selection_id_old,selection_id_new,selection_same,p0_old_pct,p0_new_pct,p0_delta_pp,gu_old_pct,gu_new_pct,gu_delta_pp,retrain_old_pct,retrain_new_pct,retrain_delta_pp,gap_old_pp,gap_new_pp,gap_delta_pp,p0_gu_old_pp,p0_gu_new_pp,p0_gu_delta_pp,p0_retrain_old_pp,p0_retrain_new_pp,p0_retrain_delta_pp,gnn_cell_cache,retrain_cell_cache,gnn_producer_called,retrain_producer_called
Cora,Degree,,b58ceb2e2b88abcfdce8,sel_ff46e44a_c86d7141,sel_ff46e44a_c86d7141,True,87.82287822878229,90.22140221402213,2.398523985239848,67.15867158671587,66.97416974169742,-0.18450184501844547,87.82287822878229,90.03690036900369,2.2140221402214024,20.664206642066418,23.062730627306266,2.398523985239848,20.664206642066418,23.24723247232471,2.5830258302582934,0.0,0.18450184501844547,0.18450184501844547,hit,hit,False,False
Cora,Random,104245,9dc2ccb3b00c61950b60,sel_0e6b18f1_8c32a4c4,sel_0e6b18f1_8c32a4c4,True,87.82287822878229,90.22140221402213,2.398523985239848,63.65313653136532,74.72324723247232,11.070110701106998,88.37638376383764,89.66789667896678,1.2915129151291467,24.723247232472318,14.944649446494466,-9.778597785977851,24.169741697416967,15.498154981549817,-8.67158671586715,-0.5535055350553506,0.5535055350553506,1.1070110701107012,hit,hit,False,False
Cora,Random,11,1438a3d71ddbfd1e38a7,sel_339a15c9_cc22381e,sel_339a15c9_cc22381e,True,87.82287822878229,90.22140221402213,2.398523985239848,74.90774907749078,74.72324723247232,-0.18450184501845968,87.82287822878229,90.40590405904058,2.5830258302582934,12.91512915129151,15.682656826568262,2.767527675276753,12.91512915129151,15.498154981549817,2.5830258302583076,0.0,-0.18450184501844547,-0.18450184501844547,hit,hit,False,False
Cora,Random,22,2f996511c07b8adecf63,sel_07b2c816_9229c586,sel_07b2c816_9229c586,True,87.82287822878229,90.22140221402213,2.398523985239848,63.09963099630996,78.04428044280442,14.94464944649446,88.19188191881919,90.40590405904058,2.214022140221388,25.09225092250923,12.361623616236159,-12.730627306273071,24.723247232472325,12.177121771217713,-12.546125461254611,-0.36900369003690514,-0.18450184501844547,0.18450184501845968,hit,hit,False,False
Cora,RR-1024,11,213145f7f61d1ce12328,sel_222a0228_18a2bbb3,sel_222a0228_18a2bbb3,True,87.82287822878229,90.22140221402213,2.398523985239848,69.37269372693727,63.09963099630996,-6.273062730627309,88.92988929889299,90.03690036900369,1.1070110701107012,19.557195571955717,26.937269372693727,7.3800738007380104,18.450184501845015,27.121771217712173,8.671586715867157,-1.1070110701107012,0.18450184501844547,1.2915129151291467,hit,hit,False,False
Cora,RR-1024,22,cf7c038868d53f62e2d0,sel_c80ac863_43aa5ce2,sel_c80ac863_43aa5ce2,True,87.82287822878229,90.22140221402213,2.398523985239848,69.74169741697416,66.42066420664207,-3.3210332103320894,87.26937269372694,88.74538745387454,1.4760147601476064,17.527675276752774,22.32472324723247,4.797047970479696,18.081180811808125,23.800738007380062,5.719557195571937,0.5535055350553506,1.4760147601475921,0.9225092250922415,miss,miss,True,True
Cora,RR-1024,33,1f08be789f48b895cd5d,sel_40c98231_302ca1fb,sel_40c98231_302ca1fb,True,87.82287822878229,90.22140221402213,2.398523985239848,67.15867158671587,66.23616236162361,-0.9225092250922557,88.00738007380073,90.59040590405904,2.5830258302583076,20.848708487084863,24.354243542435427,3.5055350553505633,20.664206642066418,23.98523985239852,3.3210332103321036,-0.18450184501844547,-0.36900369003690514,-0.18450184501845968,miss,miss,True,True
Cora,RR-4096,11,e28e76a4d9906922e56c,sel_99925bf3_f46fd9db,sel_99925bf3_f46fd9db,True,87.82287822878229,90.22140221402213,2.398523985239848,68.08118081180811,74.53874538745387,6.457564575645762,88.19188191881919,89.85239852398524,1.6605166051660518,20.11070110701108,15.313653136531372,-4.79704797047971,19.741697416974176,15.682656826568262,-4.059040590405914,-0.36900369003690514,0.36900369003689093,0.7380073800737961,hit,hit,False,False
Cora,RR-4096,22,05247fbab2b3d820f428,sel_efc4cd70_53f741b9,sel_efc4cd70_53f741b9,True,87.82287822878229,90.22140221402213,2.398523985239848,71.95571955719558,76.75276752767527,4.797047970479696,88.37638376383764,90.03690036900369,1.6605166051660518,16.42066420664206,13.284132841328415,-3.136531365313644,15.867158671586708,13.46863468634686,-2.398523985239848,-0.5535055350553506,0.18450184501844547,0.7380073800737961,hit,hit,False,False
Cora,RR-4096,33,3fdb4175762cd6e6c38a,sel_1d777e15_31a895e4,sel_1d777e15_31a895e4,True,87.82287822878229,90.22140221402213,2.398523985239848,66.23616236162361,65.86715867158671,-0.36900369003690514,87.08487084870849,88.74538745387454,1.6605166051660518,20.848708487084878,22.878228782287835,2.029520295202957,21.586715867158674,24.354243542435427,2.767527675276753,0.7380073800737961,1.4760147601475921,0.7380073800737961,hit,hit,False,False
Cora,RR-16384,11,6610063b8d53fde09791,sel_3ed1dc54_9fb9737f,sel_3ed1dc54_9fb9737f,True,87.82287822878229,90.22140221402213,2.398523985239848,60.88560885608856,74.35424354243543,13.468634686346867,87.4538745387454,88.92988929889299,1.4760147601475921,26.568265682656836,14.575645756457561,-11.992619926199275,26.937269372693727,15.867158671586708,-11.07011070110702,0.36900369003689093,1.2915129151291467,0.9225092250922557,hit,hit,False,False
