dataset,selector,selector_seed,training_seed,budget_ratio,selection_id,requested_k,P0_test_accuracy_percent,GNNDelete_test_accuracy_percent,Retrain_test_accuracy_percent,P0_minus_GU_pp,P0_minus_Retrain_pp,Retrain_minus_GU_pp,GNNDelete_update_detection_auc
CiteSeer,degree,fixed,42,0.1,sel_abe5882c_46b01259,232,74.47447447447448,73.12312312312312,74.62462462462463,1.3513513513513487,-0.15015015015015232,1.501501501501501,0.7649004161712246
CiteSeer,im_celf,11,42,0.1,sel_a63b1685_203a7204,232,74.47447447447448,73.72372372372372,74.02402402402403,0.7507507507507505,0.45045045045044585,0.30030030030030463,0.7282160374554102
CiteSeer,im_celf,22,42,0.1,sel_b7f1c608_6ba16ffa,232,74.47447447447448,73.57357357357357,74.17417417417418,0.9009009009009028,0.30030030030029353,0.6006006006006093,0.7463770808561236
CiteSeer,im_celf,33,42,0.1,sel_f55d5239_e1dd26a3,232,74.47447447447448,76.27627627627628,73.57357357357357,-1.8018018018018056,0.9009009009009028,-2.7027027027027084,0.7508174791914388
CiteSeer,random,104245,42,0.1,sel_c5d5b29a_ceea18e1,232,74.47447447447448,75.97597597597597,74.17417417417418,-1.501501501501501,0.30030030030029353,-1.8018018018017945,0.758128344233056
CiteSeer,random,11,42,0.1,sel_2f4a5407_8ac4d2ce,232,74.47447447447448,75.67567567567568,75.52552552552552,-1.2012012012012074,-1.0510510510510551,-0.15015015015015232,0.8178972205707491
CiteSeer,random,22,42,0.1,sel_ba7995bb_4f2b91bf,232,74.47447447447448,75.37537537537537,74.47447447447448,-0.9009009009009028,0.0,-0.9009009009009028,0.7438410374554103
CiteSeer,rr_1024,11,42,0.1,sel_0d5be12d_fd207043,232,74.47447447447448,74.02402402402403,76.12612612612612,0.45045045045044585,-1.6516516516516533,2.102102102102099,0.7335110731272295
CiteSeer,rr_1024,22,42,0.1,sel_e1a1e4d0_016c57c3,232,74.47447447447448,74.47447447447448,74.77477477477478,0.0,-0.30030030030030463,0.30030030030030463,0.718619946492271
CiteSeer,rr_1024,33,42,0.1,sel_f8cfbb62_470e3e72,232,74.47447447447448,74.92492492492492,76.42642642642643,-0.45045045045045695,-1.951951951951958,1.501501501501501,0.707779057669441
CiteSeer,rr_16384,11,42,0.1,sel_acf4b77b_9d850187,232,74.47447447447448,74.02402402402403,75.07507507507508,0.45045045045044585,-0.6006006006005982,1.051051051051044,0.6917453180737217
CiteSeer,rr_16384,22,42,0.1,sel_e568c96b_904e7a5c,232,74.47447447447448,74.17417417417418,75.07507507507508,0.30030030030029353,-0.6006006006005982,0.9009009009008917,0.6754793400713437
CiteSeer,rr_16384,33,42,0.1,sel_90af49bc_225172c5,232,74.47447447447448,73.12312312312312,74.17417417417418,1.3513513513513487,0.30030030030029353,1.0510510510510551,0.7166877229488703
CiteSeer,rr_4096,11,42,0.1,sel_2e17c560_c274c8cd,232,74.47447447447448,74.47447447447448,75.67567567567568,0.0,-1.2012012012012074,1.2012012012012074,0.7132691736028537
CiteSeer,rr_4096,22,42,0.1,sel_bdd52246_d4ce5088,232,74.47447447447448,75.97597597597597,74.32432432432432,-1.501501501501501,0.15015015015015232,-1.6516516516516533,0.7132691736028538
CiteSeer,rr_4096,33,42,0.1,sel_7c21e986_235ef86d,232,74.47447447447448,75.37537537537537,74.77477477477478,-0.9009009009009028,-0.30030030030030463,-0.6006006006005982,0.7086615636147444
Cora,degree,fixed,42,0.1,sel_ff46e44a_c86d7141,189,90.22140221402213,66.97416974169742,90.03690036900369,23.24723247232472,0.18450184501844769,23.062730627306273,0.5924806136446348
Cora,im_celf,11,42,0.1,sel_c8acb4a6_1ca7a295,189,90.22140221402213,68.26568265682657,89.11439114391145,21.955719557195575,1.1070110701106972,20.848708487084878,0.5994233084180174
Cora,im_celf,22,42,0.1,sel_4d5151eb_d86799a4,189,90.22140221402213,69.37269372693727,89.85239852398524,20.848708487084867,0.36900369003689537,20.479704797047972,0.5610145292684975
Cora,im_celf,33,42,0.1,sel_67847f02_c1c4257d,189,90.22140221402213,67.89667896678966,89.2988929889299,22.32472324723247,0.9225092250922495,21.40221402214022,0.6082556479381876
Cora,random,104245,42,0.1,sel_0e6b18f1_8c32a4c4,189,90.22140221402213,74.72324723247232,89.66789667896678,15.498154981549817,0.5535055350553542,14.944649446494463,0.6389938691525994
Cora,random,11,42,0.1,sel_339a15c9_cc22381e,189,90.22140221402213,74.72324723247232,90.40590405904058,15.498154981549817,-0.18450184501844769,15.682656826568264,0.6249265138154028
Cora,random,22,42,0.1,sel_07b2c816_9229c586,189,90.22140221402213,78.04428044280442,90.40590405904058,12.177121771217713,-0.18450184501844769,12.361623616236162,0.6411634612692814
Cora,rr_1024,11,42,0.1,sel_222a0228_18a2bbb3,189,90.22140221402213,63.09963099630996,90.03690036900369,27.121771217712176,0.18450184501844769,26.937269372693727,0.6311553427955545
Cora,rr_1024,22,42,0.1,sel_c80ac863_43aa5ce2,189,90.22140221402213,66.42066420664207,88.74538745387454,23.800738007380073,1.4760147601476037,22.32472324723247,0.604700316340528
Cora,rr_1024,33,42,0.1,sel_40c98231_302ca1fb,189,90.22140221402213,66.23616236162361,90.59040590405904,23.98523985239852,-0.3690036900369065,24.354243542435427,0.6173679348282524
Cora,rr_16384,11,42,0.1,sel_3ed1dc54_9fb9737f,189,90.22140221402213,74.35424354243543,88.92988929889299,15.867158671586711,1.291512915129156,14.575645756457556,0.5525461213291901
Cora,rr_16384,22,42,0.1,sel_05903969_72a332b0,189,90.22140221402213,72.69372693726937,89.66789667896678,17.527675276752763,0.5535055350553542,16.97416974169741,0.5355533159765964
Cora,rr_16384,33,42,0.1,sel_d441151b_888c9717,189,90.22140221402213,70.29520295202953,89.2988929889299,19.926199261992615,0.9225092250922495,19.003690036900366,0.5306122448979592
Cora,rr_4096,11,42,0.1,sel_99925bf3_f46fd9db,189,90.22140221402213,74.53874538745387,89.85239852398524,15.682656826568264,0.36900369003689537,15.313653136531368,0.5355673133450911
Cora,rr_4096,22,42,0.1,sel_efc4cd70_53f741b9,189,90.22140221402213,76.75276752767527,90.03690036900369,13.468634686346858,0.18450184501844769,13.284132841328411,0.5394165896811399
Cora,rr_4096,33,42,0.1,sel_1d777e15_31a895e4,189,90.22140221402213,65.86715867158671,88.74538745387454,24.354243542435427,1.4760147601476037,22.878228782287824,0.5744660003919263
PubMed,degree,fixed,42,0.1,sel_435257f7_0fc3e473,1380,88.56490872210954,87.2210953346856,88.71703853955376,1.3438133874239422,-0.15212981744421317,1.4959432048681554,0.36642512077294687
PubMed,im_celf,11,42,0.1,sel_f9fc7e97_02641cde,1380,88.56490872210954,86.86612576064908,88.3367139959432,1.6987829614604544,0.22819472616633085,1.4705882352941235,0.5326533291325352
PubMed,im_celf,22,42,0.1,sel_b670d8d9_2afbfc29,1380,88.56490872210954,86.68864097363083,88.56490872210954,1.8762677484787105,0.0,1.8762677484787105,0.503828502415459
PubMed,im_celf,33,42,0.1,sel_a049fe23_64efe27e,1380,88.56490872210954,86.91683569979716,88.41277890466532,1.6480730223123796,0.15212981744422427,1.4959432048681554,0.48972694812014284
PubMed,random,104245,42,0.1,sel_2742b014_42ca31c5,1380,88.56490872210954,86.35902636916836,88.69168356997972,2.2058823529411797,-0.12677484787018134,2.332657200811361,0.5158511867254778
PubMed,random,11,42,0.1,sel_6573d457_eb63973f,1380,88.56490872210954,86.86612576064908,88.7423935091278,1.6987829614604544,-0.1774847870182561,1.8762677484787105,0.541315374921235
PubMed,random,22,42,0.1,sel_53170519_cecc2743,1380,88.56490872210954,85.47160243407707,88.41277890466532,3.09330628803246,0.15212981744422427,2.941176470588236,0.5285197437513127
PubMed,rr_1024,11,42,0.1,sel_3702aa28_a13b4017,1380,88.56490872210954,85.59837728194725,88.36206896551724,2.966531440162279,0.20283975659229903,2.76369168356998,0.5243935097668556
PubMed,rr_1024,22,42,0.1,sel_a5283cb0_39d22001,1380,88.56490872210954,85.420892494929,88.43813387423936,3.144016227180535,0.12677484787018134,3.0172413793103536,0.5295195337114051
PubMed,rr_1024,33,42,0.1,sel_0fb22a21_65a4f41e,1380,88.56490872210954,85.44624746450305,88.2606490872211,3.118661257606492,0.30425963488843744,2.8144016227180546,0.526733879437093
PubMed,rr_16384,11,42,0.1,sel_6a824110_65a428a6,1380,88.56490872210954,84.96450304259635,88.15922920892496,3.6004056795131856,0.40567951318458695,3.1947261663285986,0.5086998529720647
PubMed,rr_16384,22,42,0.1,sel_9b07bccb_a5f33f19,1380,88.56490872210954,84.50811359026369,88.15922920892496,4.056795131845847,0.40567951318458695,3.6511156186612603,0.5031479731148919
PubMed,rr_16384,33,42,0.1,sel_f222f957_1a2e5523,1380,88.56490872210954,84.00101419878297,88.61561866125761,4.563894523326573,-0.050709939148074756,4.614604462474647,0.5096938668346986
PubMed,rr_4096,11,42,0.1,sel_5d482488_7a37ce01,1380,88.56490872210954,84.98985801217039,88.51419878296146,3.5750507099391537,0.050709939148074756,3.524340770791079,0.5265364419239655
PubMed,rr_4096,22,42,0.1,sel_06ed1ae8_a1d1caa4,1380,88.56490872210954,84.73630831643003,88.69168356997972,3.8286004056795164,-0.12677484787018134,3.9553752535496978,0.5269533711405168
