budget,common_fraction_mean,common_fraction_std,dataset,jaccard_mean,jaccard_std,left,n_seeds,right,spearman_mean,spearman_std
3,0.6666666666666666,0.33333333333333337,CiteSeer,0.5666666666666667,0.40414518843273806,a_grad_norm,3,b_param_lissa,0.920302059062177,0.06485112596057586
3,0.6666666666666666,0.0,CiteSeer,0.5,0.0,b_param_hutch,3,b_param_lissa,0.946266915295907,0.00613164436070541
3,0.2222222222222222,0.19245008972987526,CiteSeer,0.13333333333333333,0.11547005383792516,b_param_lissa,3,gt_full,0.012080721023563295,0.07406397312819422
3,0.0,0.0,CiteSeer,0.0,0.0,gt_simple,3,gt_full,0.0017304502527487654,0.059171694592484204
3,0.8888888888888888,0.1924500897298753,CiteSeer,0.8333333333333334,0.28867513459481287,p_graph,3,gt_full,0.9735884436419194,0.021545993565186595
3,1.0,0.0,CiteSeer,1.0,0.0,p_point,3,r_point,0.9440329561067532,0.0686946290504788
3,0.7777777777777778,0.3849001794597505,CiteSeer,0.7333333333333334,0.46188021535170065,p_simple,3,gt_simple,0.920308727287038,0.0987711463858285
3,0.1111111111111111,0.19245008972987526,CiteSeer,0.06666666666666667,0.11547005383792516,r_point,3,gt_full,0.49486277090399877,0.2139768912658099
3,0.5555555555555556,0.19245008972987523,CiteSeer,0.4,0.17320508075688773,tracin_cp_graph_3,3,gt_full,0.6771303562747413,0.1041415133578364
3,0.4444444444444444,0.19245008972987526,CiteSeer,0.3,0.17320508075688773,tracin_cp_graph_6,3,gt_full,0.7062295992777275,0.06503871935491934
3,0.6666666666666666,0.0,CiteSeer,0.5,0.0,tracin_cp_point_3,3,r_point,0.8966845962147704,0.07172547041945088
3,0.6666666666666666,0.0,CiteSeer,0.5,0.0,tracin_cp_point_6,3,r_point,0.898240265204523,0.07748660474305866
3,1.0,0.0,CiteSeer,1.0,0.0,tracin_cp_simple_3,3,gt_simple,0.844650170036137,0.09248035222193401
3,1.0,0.0,CiteSeer,1.0,0.0,tracin_cp_simple_6,3,gt_simple,0.8471920308727287,0.09857641202704043
7,0.7142857142857142,0.24743582965269673,CiteSeer,0.5909090909090909,0.27555353756777595,a_grad_norm,3,b_param_lissa,0.920302059062177,0.06485112596057586
7,0.7142857142857143,0.14285714285714285,CiteSeer,0.5685185185185185,0.1753597126097792,b_param_hutch,3,b_param_lissa,0.946266915295907,0.00613164436070541
7,0.19047619047619047,0.1649572197684645,CiteSeer,0.1111111111111111,0.09622504486493763,b_param_lissa,3,gt_full,0.012080721023563295,0.07406397312819422
7,0.0,0.0,CiteSeer,0.0,0.0,gt_simple,3,gt_full,0.0017304502527487654,0.059171694592484204
7,0.9047619047619048,0.08247860988423228,CiteSeer,0.8333333333333334,0.14433756729740643,p_graph,3,gt_full,0.9735884436419194,0.021545993565186595
7,0.8095238095238095,0.08247860988423221,CiteSeer,0.6851851851851852,0.11226255234242721,p_point,3,r_point,0.9440329561067532,0.0686946290504788
7,0.8095238095238095,0.2182178902359924,CiteSeer,0.7166666666666667,0.30138568866708537,p_simple,3,gt_simple,0.920308727287038,0.0987711463858285
7,0.23809523809523808,0.08247860988423225,CiteSeer,0.13675213675213674,0.05181348569650487,r_point,3,gt_full,0.49486277090399877,0.2139768912658099
7,0.47619047619047616,0.1649572197684645,CiteSeer,0.32222222222222224,0.1347150628109127,tracin_cp_graph_3,3,gt_full,0.6771303562747413,0.1041415133578364
7,0.42857142857142855,0.14285714285714285,CiteSeer,0.2797979797979798,0.11682725403334157,tracin_cp_graph_6,3,gt_full,0.7062295992777275,0.06503871935491934
7,0.6666666666666666,0.08247860988423228,CiteSeer,0.5037037037037038,0.08981004187394179,tracin_cp_point_3,3,r_point,0.8966845962147704,0.07172547041945088
7,0.7142857142857143,0.0,CiteSeer,0.5555555555555556,0.0,tracin_cp_point_6,3,r_point,0.898240265204523,0.07748660474305866
7,0.9523809523809523,0.08247860988423228,CiteSeer,0.9166666666666666,0.14433756729740643,tracin_cp_simple_3,3,gt_simple,0.844650170036137,0.09248035222193401
7,0.9523809523809523,0.08247860988423228,CiteSeer,0.9166666666666666,0.14433756729740643,tracin_cp_simple_6,3,gt_simple,0.8471920308727287,0.09857641202704043
14,0.8333333333333334,0.10910894511799618,CiteSeer,0.7240740740740741,0.15716757327939812,a_grad_norm,3,b_param_lissa,0.920302059062177,0.06485112596057586
14,0.8809523809523809,0.10910894511799621,CiteSeer,0.7990196078431373,0.18150498609385898,b_param_hutch,3,b_param_lissa,0.946266915295907,0.00613164436070541
14,0.2857142857142857,0.12371791482634838,CiteSeer,0.1709090909090909,0.0881771320216883,b_param_lissa,3,gt_full,0.012080721023563295,0.07406397312819422
14,0.047619047619047616,0.041239304942116126,CiteSeer,0.024691358024691357,0.021383343303319473,gt_simple,3,gt_full,0.0017304502527487654,0.059171694592484204
14,0.9285714285714286,0.0,CiteSeer,0.8666666666666667,0.0,p_graph,3,gt_full,0.9735884436419194,0.021545993565186595
14,0.8333333333333334,0.14869042853329517,CiteSeer,0.7342047930283224,0.2346881570282393,p_point,3,r_point,0.9440329561067532,0.0686946290504788
14,0.9761904761904762,0.041239304942116105,CiteSeer,0.9555555555555556,0.07698003589195009,p_simple,3,gt_simple,0.920308727287038,0.0987711463858285
14,0.2857142857142857,0.12371791482634838,CiteSeer,0.1705685618729097,0.0810993689162685,r_point,3,gt_full,0.49486277090399877,0.2139768912658099
14,0.5,0.07142857142857142,CiteSeer,0.33535353535353535,0.06366040911753024,tracin_cp_graph_3,3,gt_full,0.6771303562747413,0.1041415133578364
14,0.5714285714285714,0.07142857142857145,CiteSeer,0.4023391812865497,0.07020467227349202,tracin_cp_graph_6,3,gt_full,0.7062295992777275,0.06503871935491934
14,0.6428571428571428,0.24743582965269673,CiteSeer,0.5038363171355499,0.24806865786152724,tracin_cp_point_3,3,r_point,0.8966845962147704,0.07172547041945088
14,0.6666666666666666,0.21821789023599236,CiteSeer,0.5260942760942761,0.2399964359948049,tracin_cp_point_6,3,r_point,0.898240265204523,0.07748660474305866
14,0.8571428571428571,0.07142857142857145,CiteSeer,0.7545751633986928,0.10987538524138535,tracin_cp_simple_3,3,gt_simple,0.844650170036137,0.09248035222193401
14,0.8571428571428571,0.07142857142857145,CiteSeer,0.7545751633986928,0.10987538524138535,tracin_cp_simple_6,3,gt_simple,0.8471920308727287,0.09857641202704043
3,0.6666666666666666,0.33333333333333337,Cora,0.5666666666666667,0.40414518843273806,a_grad_norm,3,b_param_lissa,0.9887618172938853,0.0026563842157658205
3,0.5555555555555556,0.19245008972987523,Cora,0.4,0.17320508075688773,b_param_hutch,3,b_param_lissa,0.9862398227314806,0.0010850647845776658
3,0.0,0.0,Cora,0.0,0.0,b_param_lissa,3,gt_full,-0.07513357095478633,0.08362044420386654
3,0.0,0.0,Cora,0.0,0.0,gt_simple,3,gt_full,0.03752463235086522,0.030588286608202293
3,0.8888888888888888,0.1924500897298753,Cora,0.8333333333333334,0.28867513459481287,p_graph,3,gt_full,0.9825996953197322,0.014783767143568856
3,1.0,0.0,Cora,1.0,0.0,p_point,3,r_point,0.9673598507212469,0.013030586430508872
3,1.0,0.0,Cora,1.0,0.0,p_simple,3,gt_simple,0.9633914780807351,0.0025026961609550986
3,0.0,0.0,Cora,0.0,0.0,r_point,3,gt_full,0.16774033660609508,0.07878929416117207
3,0.0,0.0,Cora,0.0,0.0,tracin_cp_graph_3,3,gt_full,0.5083947431720278,0.04470910876098703
3,0.1111111111111111,0.19245008972987526,Cora,0.06666666666666667,0.11547005383792516,tracin_cp_graph_6,3,gt_full,0.5396558133432465,0.045203884388893334
3,0.5555555555555556,0.19245008972987523,Cora,0.4,0.17320508075688773,tracin_cp_point_3,3,r_point,0.8901066380937804,0.045679752872090154
3,0.5555555555555556,0.19245008972987523,Cora,0.4,0.17320508075688773,tracin_cp_point_6,3,r_point,0.8928618807081996,0.04794336312754263
3,1.0,0.0,Cora,1.0,0.0,tracin_cp_simple_3,3,gt_simple,0.8552657186528962,0.09661208563965587
3,1.0,0.0,Cora,1.0,0.0,tracin_cp_simple_6,3,gt_simple,0.8647429407378414,0.095740269934233
7,0.6190476190476191,0.16495721976846453,Cora,0.4612794612794613,0.1632909852253487,a_grad_norm,3,b_param_lissa,0.9887618172938853,0.0026563842157658205
7,0.8095238095238095,0.08247860988423221,Cora,0.6851851851851852,0.11226255234242721,b_param_hutch,3,b_param_lissa,0.9862398227314806,0.0010850647845776658
7,0.0,0.0,Cora,0.0,0.0,b_param_lissa,3,gt_full,-0.07513357095478633,0.08362044420386654
7,0.047619047619047616,0.08247860988423225,Cora,0.025641025641025644,0.04441155916843275,gt_simple,3,gt_full,0.03752463235086522,0.030588286608202293
7,0.8571428571428571,0.0,Cora,0.75,0.0,p_graph,3,gt_full,0.9825996953197322,0.014783767143568856
7,0.9523809523809523,0.08247860988423228,Cora,0.9166666666666666,0.14433756729740643,p_point,3,r_point,0.9673598507212469,0.013030586430508872
7,1.0,0.0,Cora,1.0,0.0,p_simple,3,gt_simple,0.9633914780807351,0.0025026961609550986
7,0.19047619047619047,0.08247860988423225,Cora,0.10683760683760683,0.05181348569650487,r_point,3,gt_full,0.16774033660609508,0.07878929416117207
7,0.3333333333333333,0.08247860988423225,Cora,0.20202020202020202,0.061234119459505756,tracin_cp_graph_3,3,gt_full,0.5083947431720278,0.04470910876098703
7,0.42857142857142855,0.14285714285714285,Cora,0.2797979797979798,0.11682725403334157,tracin_cp_graph_6,3,gt_full,0.5396558133432465,0.045203884388893334
7,0.8571428571428571,0.0,Cora,0.75,0.0,tracin_cp_point_3,3,r_point,0.8901066380937804,0.045679752872090154
7,0.8095238095238095,0.08247860988423221,Cora,0.6851851851851852,0.11226255234242721,tracin_cp_point_6,3,r_point,0.8928618807081996,0.04794336312754263
7,0.9523809523809523,0.08247860988423228,Cora,0.9166666666666666,0.14433756729740643,tracin_cp_simple_3,3,gt_simple,0.8552657186528962,0.09661208563965587
7,1.0,0.0,Cora,1.0,0.0,tracin_cp_simple_6,3,gt_simple,0.8647429407378414,0.095740269934233
14,0.8809523809523809,0.04123930494211617,Cora,0.7888888888888889,0.06735753140545636,a_grad_norm,3,b_param_lissa,0.9887618172938853,0.0026563842157658205
14,0.7857142857142857,0.0714285714285714,Cora,0.6508714596949892,0.09727827424314979,b_param_hutch,3,b_param_lissa,0.9862398227314806,0.0010850647845776658
14,0.09523809523809523,0.041239304942116126,Cora,0.050332383665717,0.02302821586511328,b_param_lissa,3,gt_full,-0.07513357095478633,0.08362044420386654
14,0.11904761904761904,0.041239304942116126,Cora,0.06362773029439696,0.02302821586511328,gt_simple,3,gt_full,0.03752463235086522,0.030588286608202293
14,0.8809523809523809,0.04123930494211617,Cora,0.7888888888888889,0.06735753140545636,p_graph,3,gt_full,0.9825996953197322,0.014783767143568856
14,1.0,0.0,Cora,1.0,0.0,p_point,3,r_point,0.9673598507212469,0.013030586430508872
14,0.9761904761904762,0.041239304942116105,Cora,0.9555555555555556,0.07698003589195009,p_simple,3,gt_simple,0.9633914780807351,0.0025026961609550986
14,0.30952380952380953,0.04123930494211614,Cora,0.18357487922705312,0.029285883219763626,r_point,3,gt_full,0.16774033660609508,0.07878929416117207
14,0.40476190476190477,0.041239304942116105,Cora,0.25428194993412384,0.03194823623974213,tracin_cp_graph_3,3,gt_full,0.5083947431720278,0.04470910876098703
14,0.42857142857142855,0.07142857142857142,Cora,0.274483970136144,0.05799097352742753,tracin_cp_graph_6,3,gt_full,0.5396558133432465,0.045203884388893334
14,0.9285714285714286,0.0,Cora,0.8666666666666667,0.0,tracin_cp_point_3,3,r_point,0.8901066380937804,0.045679752872090154
14,0.9285714285714286,0.0,Cora,0.8666666666666667,0.0,tracin_cp_point_6,3,r_point,0.8928618807081996,0.04794336312754263
14,0.9523809523809524,0.041239304942116105,Cora,0.9111111111111111,0.07698003589195009,tracin_cp_simple_3,3,gt_simple,0.8552657186528962,0.09661208563965587
14,0.9761904761904762,0.041239304942116105,Cora,0.9555555555555556,0.07698003589195009,tracin_cp_simple_6,3,gt_simple,0.8647429407378414,0.095740269934233
3,0.8888888888888888,0.1924500897298753,PubMed,0.8333333333333334,0.28867513459481287,a_grad_norm,3,b_param_lissa,0.976419375752524,0.00320791142068951
3,0.8888888888888888,0.1924500897298753,PubMed,0.8333333333333334,0.28867513459481287,b_param_hutch,3,b_param_lissa,0.971732888765398,0.0283780295310622
3,0.3333333333333333,0.0,PubMed,0.2,0.0,b_param_lissa,3,gt_full,0.13196258219875895,0.13100788375185976
3,0.3333333333333333,0.0,PubMed,0.2,0.0,gt_simple,3,gt_full,0.08185607113086969,0.10836360527483466
3,1.0,0.0,PubMed,1.0,0.0,p_graph,3,gt_full,0.9968324534592945,0.0008733666932760044
3,1.0,0.0,PubMed,1.0,0.0,p_point,3,r_point,0.9964434565156991,0.002312714870428886
3,1.0,0.0,PubMed,1.0,0.0,p_simple,3,gt_simple,0.9898305084745764,0.011902704569440745
3,0.3333333333333333,0.0,PubMed,0.2,0.0,r_point,3,gt_full,-0.3267018616282301,0.08351617565125741
3,0.4444444444444444,0.19245008972987526,PubMed,0.3,0.17320508075688773,tracin_cp_graph_3,3,gt_full,0.3081781976474947,0.06372430911957953
3,0.3333333333333333,0.0,PubMed,0.2,0.0,tracin_cp_graph_6,3,gt_full,0.339872186718533,0.08554639363694322
3,0.6666666666666666,0.0,PubMed,0.5,0.0,tracin_cp_point_3,3,r_point,0.9151801426322128,0.052762903461065915
3,0.6666666666666666,0.0,PubMed,0.5,0.0,tracin_cp_point_6,3,r_point,0.9172918403260166,0.04423298531351424
