budget,common_fraction,dataset,intersection,jaccard,kendall,left,right,seed,sign_agreement,spearman
14,0.7857142857142857,CiteSeer,11,0.6470588235294118,0.8467572489144137,tracin_cp_point_3,r_point,2024,0.8916666666666667,0.9597262300376069
3,0.6666666666666666,CiteSeer,2,0.5,0.8610449642807114,tracin_cp_point_6,r_point,2024,0.9166666666666666,0.9656224933068036
7,0.7142857142857143,CiteSeer,5,0.5555555555555556,0.8610449642807114,tracin_cp_point_6,r_point,2024,0.9166666666666666,0.9656224933068036
14,0.8571428571428571,CiteSeer,12,0.75,0.8610449642807114,tracin_cp_point_6,r_point,2024,0.9166666666666666,0.9656224933068036
3,1.0,CiteSeer,3,1.0,0.7758475763519193,tracin_cp_simple_3,gt_simple,2024,0.875,0.9175631471848544
7,0.8571428571428571,CiteSeer,6,0.75,0.7758475763519193,tracin_cp_simple_3,gt_simple,2024,0.875,0.9175631471848544
14,0.9285714285714286,CiteSeer,13,0.8666666666666667,0.7758475763519193,tracin_cp_simple_3,gt_simple,2024,0.875,0.9175631471848544
3,1.0,CiteSeer,3,1.0,0.7873353880638834,tracin_cp_simple_6,gt_simple,2024,0.9166666666666666,0.9268416337359104
7,0.8571428571428571,CiteSeer,6,0.75,0.7873353880638834,tracin_cp_simple_6,gt_simple,2024,0.9166666666666666,0.9268416337359104
14,0.9285714285714286,CiteSeer,13,0.8666666666666667,0.7873353880638834,tracin_cp_simple_6,gt_simple,2024,0.9166666666666666,0.9268416337359104
3,0.3333333333333333,CiteSeer,1,0.2,0.5257703081232493,tracin_cp_graph_3,gt_full,2024,0.7666666666666667,0.6958260990346551
7,0.2857142857142857,CiteSeer,2,0.16666666666666666,0.5257703081232493,tracin_cp_graph_3,gt_full,2024,0.7666666666666667,0.6958260990346551
14,0.42857142857142855,CiteSeer,6,0.2727272727272727,0.5257703081232493,tracin_cp_graph_3,gt_full,2024,0.7666666666666667,0.6958260990346551
3,0.3333333333333333,CiteSeer,1,0.2,0.5596638655462184,tracin_cp_graph_6,gt_full,2024,0.825,0.7371206333773178
7,0.2857142857142857,CiteSeer,2,0.16666666666666666,0.5596638655462184,tracin_cp_graph_6,gt_full,2024,0.825,0.7371206333773178
14,0.5714285714285714,CiteSeer,8,0.4,0.5596638655462184,tracin_cp_graph_6,gt_full,2024,0.825,0.7371206333773178
3,0.6666666666666666,CiteSeer,2,0.5,0.8226642386888919,a_grad_norm,b_param_lissa,212,1.0,0.9482531712381804
7,0.8571428571428571,CiteSeer,6,0.75,0.8226642386888919,a_grad_norm,b_param_lissa,212,1.0,0.9482531712381804
14,0.9285714285714286,CiteSeer,13,0.8666666666666667,0.8226642386888919,a_grad_norm,b_param_lissa,212,1.0,0.9482531712381804
3,0.6666666666666666,CiteSeer,2,0.5,0.8041742540972124,b_param_hutch,b_param_lissa,212,1.0,0.9467877866094402
7,0.7142857142857143,CiteSeer,5,0.5555555555555556,0.8041742540972124,b_param_hutch,b_param_lissa,212,1.0,0.9467877866094402
14,0.7857142857142857,CiteSeer,11,0.6470588235294118,0.8041742540972124,b_param_hutch,b_param_lissa,212,1.0,0.9467877866094402
3,0.0,CiteSeer,0,0.0,0.02283073049929626,b_param_lissa,gt_full,212,0.5416666666666666,0.03931529848484724
7,0.0,CiteSeer,0,0.0,0.02283073049929626,b_param_lissa,gt_full,212,0.5416666666666666,0.03931529848484724
14,0.21428571428571427,CiteSeer,3,0.12,0.02283073049929626,b_param_lissa,gt_full,212,0.5416666666666666,0.03931529848484724
3,0.0,CiteSeer,0,0.0,0.04902647477709867,gt_simple,gt_full,212,0.5916666666666667,0.07004330176895401
7,0.0,CiteSeer,0,0.0,0.04902647477709867,gt_simple,gt_full,212,0.5916666666666667,0.07004330176895401
14,0.0,CiteSeer,0,0.0,0.04902647477709867,gt_simple,gt_full,212,0.5916666666666667,0.07004330176895401
3,0.0,CiteSeer,0,0.0,0.5239862748335418,r_point,gt_full,212,0.775,0.6841320302323496
7,0.14285714285714285,CiteSeer,1,0.07692307692307693,0.5239862748335418,r_point,gt_full,212,0.775,0.6841320302323496
14,0.35714285714285715,CiteSeer,5,0.21739130434782608,0.5239862748335418,r_point,gt_full,212,0.775,0.6841320302323496
3,1.0,CiteSeer,3,1.0,0.72433113881496,p_point,r_point,212,0.775,0.8648165317609965
7,0.7142857142857143,CiteSeer,5,0.5555555555555556,0.72433113881496,p_point,r_point,212,0.775,0.8648165317609965
14,0.7857142857142857,CiteSeer,11,0.6470588235294118,0.72433113881496,p_point,r_point,212,0.775,0.8648165317609965
3,1.0,CiteSeer,3,1.0,0.6985149901933314,p_simple,gt_simple,212,0.8333333333333334,0.8076241935147823
7,0.8571428571428571,CiteSeer,6,0.75,0.6985149901933314,p_simple,gt_simple,212,0.8333333333333334,0.8076241935147823
