budget,dataset,family,method,n_seeds,removed_directed_edges_mean,removed_directed_edges_std,retained_train_accuracy_drop_mean,retained_train_accuracy_drop_std,test_accuracy_drop_mean,test_accuracy_drop_std,test_loss_increase_mean,test_loss_increase_std,validation_accuracy_drop_mean,validation_accuracy_drop_std,validation_loss_increase_mean,validation_loss_increase_std
3,CiteSeer,A,a_grad_norm,3,42.666666666666664,12.220201853215572,-0.016096870104471844,0.00833700669138831,0.008000016212463379,0.0059999823570251465,-0.014252901077270508,0.019610097843815566,0.0006666978200276693,0.014742231165789425,-0.012397329012552897,0.021286546784127135
7,CiteSeer,A,a_grad_norm,3,81.33333333333333,7.023769168568493,-0.024139622847239178,0.0080766119253047,0.010333359241485596,0.011930348063059749,-0.013249516487121582,0.01273645678275991,0.0026666919390360513,0.013012825300327267,-0.013436992963155111,0.018380868448174256
14,CiteSeer,A,a_grad_norm,3,136.0,10.0,-0.0357442299524943,0.009321057073128218,-0.0056666334470113116,0.007023766430418715,-0.029010454813639324,0.04084328916776669,-0.002666652202606201,0.017925767089599146,-0.03518060843149821,0.04332924532846936
3,CiteSeer,B,b_param_hutch,3,37.333333333333336,10.066445913694333,-0.016096870104471844,0.008226744996183198,0.0066666801770528155,0.006110113309081226,-0.006551901499430339,0.005599768039689433,0.0066666801770528155,0.011015147183954568,-0.0052560170491536455,0.00967536762534328
7,CiteSeer,B,b_param_hutch,3,74.0,17.320508075688775,-0.027089476585388184,0.012789065649293292,0.002333343029022217,0.0025166067100310207,-0.014499227205912272,0.028545948898308443,-0.00799997647603353,0.007999986410159496,-0.01878360907236735,0.025880436890861017
14,CiteSeer,B,b_param_hutch,3,126.0,15.0996688705415,-0.0357442299524943,0.012864624736974905,0.0040000081062316895,0.004358897521483714,-0.011632363001505533,0.017498065970362207,-0.002666652202606201,0.008326647466999484,-0.023207585016886394,0.010931870459110444
3,CiteSeer,B,b_param_lissa,3,44.666666666666664,9.865765724632494,-0.016096870104471844,0.014558697698649823,0.006000022093454997,0.003464091428961474,-0.0038841962814331055,0.02013601680280273,0.008000016212463379,0.01311488544743702,-0.003373305002848307,0.023830660630036825
7,CiteSeer,B,b_param_lissa,3,86.0,2.0,-0.027089476585388184,0.012789065649293292,0.006333351135253906,0.005686258341227467,-0.012143254280090332,0.020580111602024817,-0.0013332962989807129,0.010263219806144832,-0.012598554293314615,0.020717551169323885
14,CiteSeer,B,b_param_lissa,3,128.0,10.583005244258363,-0.038888891537984215,0.01272939730775761,0.0010000268618265788,3.4412757706023796e-08,-0.03210043907165527,0.035417205995255385,-0.007999996344248453,0.007211100633292485,-0.047411203384399414,0.033416884966535006
3,CiteSeer,control,degree,3,84.0,0.0,-0.016096870104471844,0.008226744996183198,0.008666674296061197,0.009018502360803196,0.014915148417154947,0.031596318852737705,0.009333352247873941,0.013316656368259494,0.01737523078918457,0.03287367814247664
7,CiteSeer,control,degree,3,166.0,0.0,-0.024139622847239178,0.0080766119253047,0.01933334271113078,0.011930336405599509,0.03082863489786784,0.033044302008500025,0.01133336623509725,0.009018502360803196,0.032053192456563316,0.035520192362161924
14,CiteSeer,control,degree,3,260.0,0.0,-0.026310265064239502,0.012864616602175962,0.03533335526784261,0.005507602451468756,0.08223176002502441,0.036048576436841895,0.03266670306523641,0.016773003283409027,0.08712391058603923,0.03797223018436722
3,CiteSeer,C-GIF,gt_full,3,16.666666666666668,4.163331998932265,-0.004700859387715657,0.009624884137650062,0.00733335812886556,0.005033217367313541,-0.011853933334350586,0.01785082386554041,-0.0006666382153828939,0.012055422312406465,-0.007683475812276204,0.019537208349395686
7,CiteSeer,C-GIF,gt_full,3,39.333333333333336,10.066445913694333,-0.00939035415649414,0.012789065649293292,0.014666696389516195,0.0035118704860180924,-0.010149757067362467,0.03485596820611855,0.0020000338554382324,0.015620504297091001,0.00048160552978515625,0.03252338742115326
14,CiteSeer,C-GIF,gt_full,3,90.66666666666667,25.716402029314544,-0.013731658458709717,0.017219941509787864,0.030333340167999268,0.02214348033440121,0.02635792891184489,0.02530762106754369,0.02199999491373698,0.005291502081462652,0.03365826606750488,0.021948044286051238
3,CiteSeer,C-IF,gt_simple,3,56.666666666666664,4.618802153517006,-0.007549862066904704,0.00844579886516981,0.002333362897237142,0.009237588614816498,0.004155198733011882,0.02387332604591162,0.0013333559036254883,0.013613734484695132,0.006531357765197754,0.023597489474966985
7,CiteSeer,C-IF,gt_simple,3,111.33333333333333,9.237604307034012,-0.00939035415649414,0.004542640974590834,0.029000004132588703,0.011789823473428133,0.03961416085561117,0.008704579676327887,0.028000017007191975,0.01777638462324675,0.05484656492869059,0.01168155509970513
14,CiteSeer,C-IF,gt_simple,3,194.0,3.4641016151377544,-0.02002096176147461,0.00968526706421331,0.06966668367385864,0.012741017399969542,0.08509103457132976,0.006710709462821506,0.08266669511795044,0.006429107355579516,0.10039854049682617,0.012183045813452567
3,CiteSeer,legacy,legacy,3,39.333333333333336,3.0550504633038935,-0.01039886474609375,0.0048834778162586395,0.0010000268618265788,0.00818533841203231,-0.012097835540771484,0.012995852334903114,-0.004666646321614583,0.020232002360753655,-0.006633321444193522,0.015758407484375195
7,CiteSeer,legacy,legacy,3,93.33333333333333,25.482019804821856,-0.012340207894643148,0.010099313685276003,0.03400003910064697,0.007810252148545501,0.037310282389322914,0.013768744910418148,0.032666683197021484,0.012858205440076166,0.04945055643717448,0.013240720436373315
14,CiteSeer,legacy,legacy,3,146.0,14.0,-0.010587016741434732,0.00968523287436867,0.11133335034052531,0.03302021808152126,0.13513636589050293,0.04337538689950252,0.10733336210250854,0.01616580834355632,0.16239750385284424,0.07892833084355283
3,CiteSeer,C-GIF,p_graph,3,16.0,5.291502622129181,-0.004700859387715657,0.009624884137650062,0.009666681289672852,0.0020816726041946974,-0.008213082949320475,0.01522752956817568,-0.001999974250793457,0.013999998569488525,-0.003539601961771647,0.016742488650291418
7,CiteSeer,C-GIF,p_graph,3,38.0,10.0,-0.00939035415649414,0.012789065649293292,0.011333346366882324,0.007637618874451828,0.00016188621520996094,0.031593165906515654,0.004000027974446614,0.014422209532278588,0.006246089935302734,0.031642099229924635
14,CiteSeer,C-GIF,p_graph,3,79.33333333333333,17.009801096230763,-0.010587016741434732,0.018156367812095044,0.028000017007191975,0.01808314912529864,0.02745513121287028,0.04045579687504914,0.022000014781951904,0.01248999267535469,0.035274505615234375,0.03564771483345277
3,CiteSeer,C-point,p_point,3,40.0,4.0,-0.01039886474609375,0.004692761259840742,0.004666686058044434,0.004725788416756798,0.006316979726155599,0.013327239186288553,0.0066666801770528155,0.0253245829624256,0.006555398305257161,0.016882280575024344
