cell,method,strategy,seed,failed,f1_after,paired_dF_pct,perf_before,perf_unlearn,perf_retrain,gap,mia_auc,hop1_flip,hop2_flip,hop3_flip,hop>3_flip,unlearn_time_s,selection_time_s
cora_GAT_r0.05,GNNDelete,pagerank,722,False,0.703,-1.48,0.867159,0.761993,0.856089,0.094096,0.5819,,,,,1.2636,0.0367
cora_GAT_r0.05,GNNDelete,pagerank,1337,False,0.703,-0.93,0.869004,0.719557,0.869004,0.149446,0.5758,,,,,1.7304,0.0379
cora_GAT_r0.05,GNNDelete,pagerank,2024,False,0.7472,6.46,0.869004,0.645756,0.856089,0.210332,0.5858,,,,,1.304,0.037
cora_GAT_r0.05,GNNDelete,tracin,42,False,0.7601,-0.36,0.880074,0.728782,0.854244,0.125461,0.7555,,,,,1.2428,4.0304
cora_GAT_r0.05,GNNDelete,tracin,212,False,0.7159,3.13,0.874539,0.785978,0.857934,0.071956,0.6307,,,,,1.2684,3.4496
cora_GAT_r0.05,GNNDelete,tracin,722,False,0.7085,-2.03,0.867159,0.822878,0.839483,0.016605,0.6435,,,,,1.3814,3.4869
cora_GAT_r0.05,GNNDelete,tracin,1337,False,0.7103,-1.66,0.869004,0.758303,0.848708,0.090406,0.5789,,,,,1.3568,3.3704
cora_GAT_r0.05,GNNDelete,tracin,2024,False,0.8026,0.92,0.870849,0.791513,0.852399,0.060886,0.7284,,,,,1.6261,3.8873
cora_GAT_r0.05,GNNDelete,im,42,False,0.7472,0.93,0.878229,0.739852,0.861624,0.121771,0.6163,,,,,2.9204,1.5652
cora_GAT_r0.05,GNNDelete,im,212,False,0.7583,-1.11,0.867159,0.743542,0.869004,0.125461,0.6013,,,,,1.3497,1.5652
cora_GAT_r0.05,GNNDelete,im,722,False,0.6919,-0.37,0.859779,0.756458,0.869004,0.112546,0.5837,,,,,1.9128,1.5652
cora_GAT_r0.05,GNNDelete,im,1337,False,0.738,-4.43,0.861624,0.726937,0.867159,0.140221,0.6159,,,,,1.4592,1.5652
cora_GAT_r0.05,GNNDelete,im,2024,False,0.7657,4.61,0.870849,0.760148,0.861624,0.101476,0.6032,,,,,1.4577,1.5652
cora_GAT_r0.05,GNNDelete,hybrid,42,False,0.7491,0.74,0.872694,0.675277,0.854244,0.178967,0.7212,,,,,1.7075,0.0416
cora_GAT_r0.05,GNNDelete,hybrid,212,False,0.7601,-1.29,0.869004,0.778598,0.861624,0.083026,0.5332,,,,,2.1659,0.0418
cora_GAT_r0.05,GNNDelete,hybrid,722,False,0.7269,-3.87,0.859779,0.815498,0.869004,0.053506,0.5547,,,,,1.2882,0.0419
cora_GAT_r0.05,GNNDelete,hybrid,1337,False,0.703,-0.93,0.869004,0.797048,0.854244,0.057196,0.5846,,,,,1.6333,0.042
cora_GAT_r0.05,GNNDelete,hybrid,2024,False,0.7952,1.66,0.869004,0.789668,0.870849,0.081181,0.6451,,,,,1.525,0.0365
cora_GAT_r0.05,MEGU,random,42,False,0.8561,0.0,0.878229,0.850554,0.863469,0.012915,0.4194,,,,,0.6356,0.0002
cora_GAT_r0.05,MEGU,random,212,False,0.8376,0.0,0.867159,0.857934,0.857934,0.0,0.4565,,,,,0.6511,0.0002
cora_GAT_r0.05,MEGU,random,722,False,0.845,0.0,0.859779,0.865314,0.856089,-0.009225,0.4728,,,,,0.6558,0.0002
cora_GAT_r0.05,MEGU,random,1337,False,0.845,0.0,0.867159,0.837638,0.869004,0.031365,0.3778,,,,,0.5855,0.0003
cora_GAT_r0.05,MEGU,random,2024,False,0.8524,0.0,0.867159,0.848708,0.859779,0.01107,0.4513,,,,,0.5736,0.0002
cora_GAT_r0.05,MEGU,degree,42,False,0.8395,1.66,0.878229,0.857934,0.869004,0.01107,0.5419,,,,,0.6234,0.0006
cora_GAT_r0.05,MEGU,degree,212,False,0.8358,0.18,0.872694,0.863469,0.856089,-0.00738,0.5196,,,,,0.6334,0.0006
cora_GAT_r0.05,MEGU,degree,722,False,0.8395,0.55,0.867159,0.865314,0.856089,-0.009225,0.5575,,,,,0.635,0.0006
cora_GAT_r0.05,MEGU,degree,1337,False,0.8266,1.84,0.869004,0.845018,0.863469,0.01845,0.4955,,,,,0.5913,0.0006
cora_GAT_r0.05,MEGU,degree,2024,False,0.8395,1.29,0.861624,0.859779,0.861624,0.001845,0.5128,,,,,0.6295,0.0008
cora_GAT_r0.05,MEGU,pagerank,42,False,0.8487,0.74,0.870849,0.870849,0.859779,-0.01107,0.5089,,,,,0.6335,0.0376
cora_GAT_r0.05,MEGU,pagerank,212,False,0.8413,-0.37,0.874539,0.859779,0.856089,-0.00369,0.4863,,,,,0.6296,0.037
cora_GAT_r0.05,MEGU,pagerank,722,False,0.8376,0.74,0.859779,0.857934,0.852399,-0.005535,0.519,,,,,0.6378,0.0367
cora_GAT_r0.05,MEGU,pagerank,1337,False,0.8284,1.66,0.867159,0.843173,0.865314,0.02214,0.4928,,,,,0.6552,0.0379
