selector,node_id,score,rank,selected
tracin_cp_point_3,11,0.0011185353994369507,1,True
tracin_cp_point_3,13,0.0010770509019494058,2,False
tracin_cp_point_3,9,0.0010219419933855535,3,False
tracin_cp_point_3,1,0.001004389002919197,4,False
tracin_cp_point_3,3,0.001000006701797247,5,False
tracin_cp_point_3,5,0.0009741507098078729,6,False
tracin_cp_point_3,7,0.0009443998709321022,7,False
tracin_cp_point_3,12,-0.000615641288459301,8,False
tracin_cp_point_3,10,-0.0006708162091672421,9,False
tracin_cp_point_3,6,-0.0007228059135377407,10,False
tracin_cp_point_3,2,-0.000738023854792118,11,False
tracin_cp_point_3,4,-0.0007775831036269666,12,False
tracin_cp_point_3,0,-0.0008009545132517815,13,False
tracin_cp_point_3,8,-0.0009052391722798348,14,False
tracin_cp_point_6,11,0.002271569594740868,1,True
tracin_cp_point_6,13,0.0021859008073806764,2,False
tracin_cp_point_6,9,0.0020727878622710705,3,False
tracin_cp_point_6,1,0.0020380030758678914,4,False
tracin_cp_point_6,3,0.002027602959424258,5,False
tracin_cp_point_6,5,0.001976147890090942,6,False
tracin_cp_point_6,7,0.0019151087477803233,7,False
tracin_cp_point_6,12,-0.0012499098666012287,8,False
tracin_cp_point_6,10,-0.001362283378839493,9,False
tracin_cp_point_6,6,-0.0014668129011988639,10,False
tracin_cp_point_6,2,-0.0014979611895978451,11,False
tracin_cp_point_6,4,-0.0015770154818892479,12,False
tracin_cp_point_6,0,-0.0016253422014415265,13,False
tracin_cp_point_6,8,-0.0018359238281846046,14,False
tracin_cp_simple_3,11,0.0019310709089040755,1,True
tracin_cp_simple_3,13,0.0015799450129270554,2,False
tracin_cp_simple_3,9,0.0015088219195604324,3,False
tracin_cp_simple_3,3,0.001462939456105232,4,False
tracin_cp_simple_3,5,0.0014181682467460633,5,False
tracin_cp_simple_3,7,0.001312447562813759,6,False
tracin_cp_simple_3,12,0.0009091288596391678,7,False
tracin_cp_simple_3,1,0.00046541733667254453,8,False
tracin_cp_simple_3,10,-5.1219090819358834e-05,9,False
tracin_cp_simple_3,4,-0.00026425539515912533,10,False
tracin_cp_simple_3,2,-0.00031216570176184177,11,False
tracin_cp_simple_3,8,-0.0003325193002820015,12,False
tracin_cp_simple_3,6,-0.00048707747831940653,13,False
tracin_cp_simple_3,0,-0.0005345893651247024,14,False
tracin_cp_simple_6,11,0.003918065130710601,1,True
tracin_cp_simple_6,13,0.003207560479640961,2,False
tracin_cp_simple_6,9,0.003061259053647518,3,False
tracin_cp_simple_6,3,0.0029667772725224494,4,False
tracin_cp_simple_6,5,0.0028750311583280565,5,False
tracin_cp_simple_6,7,0.0026613079383969304,6,False
tracin_cp_simple_6,12,0.0018452772125601771,7,False
tracin_cp_simple_6,1,0.0009423026442527771,8,False
tracin_cp_simple_6,10,-0.00010375940939411521,9,False
tracin_cp_simple_6,4,-0.0005380386859178543,10,False
tracin_cp_simple_6,2,-0.0006347127724438906,11,False
tracin_cp_simple_6,8,-0.0006771232280880213,12,False
tracin_cp_simple_6,6,-0.0009884953685104848,13,False
tracin_cp_simple_6,0,-0.0010853002592921257,14,False
tracin_cp_graph_3,11,0.001331039071083069,1,True
tracin_cp_graph_3,13,0.0011508388258516789,2,False
tracin_cp_graph_3,9,0.0011234897002577783,3,False
tracin_cp_graph_3,5,0.0010970931127667427,4,False
tracin_cp_graph_3,1,0.0010468481294810773,5,False
tracin_cp_graph_3,7,0.0008974776975810529,6,False
tracin_cp_graph_3,3,0.0008245235681533814,7,False
tracin_cp_graph_3,2,-0.0004568159952759743,8,False
tracin_cp_graph_3,6,-0.0005022763274610042,9,False
tracin_cp_graph_3,10,-0.0006758532859385013,10,False
tracin_cp_graph_3,12,-0.0007510624080896378,11,False
