Phase,Method,Strategy,F1_Drop_Mean,F1_Drop_Std,P_Value_vs_Random,N_Seeds,MIA_AUC_Mean
mg2,GIF,im_v4,6.752,0.5543789317786165,0.022486151862053286,5,0.40436000000000005
mg2,GIF,hybrid_v4,5.83,0.5295280917949494,0.050646008229989686,5,0.38952
mg2,GIF,random,4.723999999999999,0.8372239843673854,1.0,5,0.5535
mg2,GIF,degree,5.094,1.1023901305799142,0.711723320709735,5,0.5337799999999999
mg2,GIF,tracin,5.389999999999999,1.0116916526293966,0.2474611786678525,5,0.5300999999999999
mg2,GIF,pagerank,4.61,0.9360341874098401,0.8952103830444609,5,0.5403399999999999
mg2,GNNDelete,tracin,13.322000000000001,6.370743755637955,0.39103782006278986,5,0.5722
mg2,GNNDelete,degree,13.099999999999998,3.1294727990509843,0.1690024133053998,5,0.5810000000000001
mg2,GNNDelete,hybrid_v4,19.776,2.6878139816587017,0.00122480116147224,5,0.8633199999999999
mg2,GNNDelete,im_v4,17.343999999999998,2.7033209206455675,0.009093372502675159,5,0.86922
mg2,GNNDelete,pagerank,13.062000000000001,3.441728635438884,0.26290206299075175,5,0.5748
mg2,GNNDelete,random,9.520000000000001,3.646417419879408,1.0,5,0.5905800000000001
mg2,GraphEraser,hybrid_v4,-4.4639999999999995,1.6136492803580336,0.009312321519647233,5,0.0
mg2,GraphEraser,pagerank,-9.52,3.2237493699107564,1.0,5,0.0
mg2,GraphEraser,tracin,-9.852,2.3554566436256046,0.883176545183268,5,0.0
mg2,GraphEraser,im_v4,-4.502,2.9883199293248373,0.0067363534162532615,5,0.0
mg2,GraphEraser,degree,-9.447999999999999,1.6829188928763026,0.9510911388989692,5,0.0
mg2,GraphEraser,random,-9.52,2.2482348631759987,1.0,5,0.0
